source	mc_kt	ntrials	score	rmsd_native	open_distance
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.1293364569608	2.5992257595062256	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.1211762089405	2.5995852947235107	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.6749038110138	2.5993452072143555	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-512.7297482619199	2.5963327884674072	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	1000	-513.5863547312041	2.597449541091919	18.005868911743164
BackRub	0.7	1000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.1454948980961	2.5992770195007324	18.046615600585938
BackRub	0.7	5000	-513.4879120046754	2.5993659496307373	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.1325060390271	2.599228858947754	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.4845663211668	2.5993144512176514	18.005868911743164
BackRub	0.7	5000	-513.4094365601254	2.5992701053619385	18.005868911743164
BackRub	0.7	5000	-513.1695347454146	2.5992560386657715	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.7900235964759	2.5988657474517822	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.1266513854451	2.599229574203491	18.005868911743164
BackRub	0.7	5000	-513.0883849336877	2.599367380142212	18.005868911743164
